Id,Label,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,Seniority,closnesscentrality,betweenesscentrality,clustering,eigencentrality
62,Chapman  Jim,256.0,27,229,6.980803E-4,6.198793E-4,3.0,1.377410468,277.8003556,0.27444854,0.007354688,4,1.3774104683195592,277.80035558832986,0.27444854,0.007354688382228105
63,Chappell  Bill  Jr.,154.0,34,120,8.7260036E-4,7.815869E-4,4.0,1.69273743,109.3546077,0.3273067,0.009696199,16,1.6927374301675977,109.35460769372887,0.3273067,0.009696199154480134
64,Cheney  Dick,106.0,4,102,1.2465719E-4,1.0780509E-4,3.0,1.753501401,8.195938382,0.30907458,0.001004167,10,1.753501400560224,8.19593838200204,0.30907458,0.0010041674385836794
65,Clarke  James McC.,159.0,8,151,2.2438295E-4,2.4256145E-4,3.0,1.596100279,57.87519844,0.32799935,0.002173805,4,1.5961002785515321,57.8751984361045,0.32799935,0.0021738049284366714
66,Clay  William (Bill),208.0,45,163,0.0011468462,9.971971E-4,3.0,1.556179775,145.0288628,0.32583147,0.012547148,16,1.5561797752808988,145.02886284796134,0.32583147,0.012547147916223923
67,Clement  Bob,71.0,0,71,0.0,2.6951273E-5,4.0,1.852272727,0,0.33682093,0,2,1.8522727272727273,0.0,0.33682093,0.0
68,Clinger  William F.  Jr.,192.0,2,190,7.479431E-5,8.085382E-5,3.0,1.477653631,21.11713203,0.2904123,6.94E-04,10,1.4776536312849162,21.11713203156503,0.2904123,6.936858100145694E-4
69,Coats  Daniel,153.0,30,123,7.7287457E-4,7.007331E-4,3.0,1.685552408,87.35275177,0.30572754,0.008485258,8,1.6855524079320112,87.35275177361774,0.30572754,0.008485257529095855
70,Coble  Howard,139.0,4,135,1.2465719E-4,8.085382E-5,3.0,1.643258427,17.78502647,0.3065895,7.68E-04,4,1.6432584269662922,17.785026465953035,0.3065895,7.680426056317812E-4
71,Coelho  Anthony Lee,264.0,59,205,0.0014958864,0.0013475636,4.0,1.440677966,278.2104646,0.30099955,0.016875519,10,1.4406779661016949,278.21046456717085,0.30099955,0.016875519152384496
72,Coleman  E. Thomas,122.0,15,107,3.98903E-4,3.5036655E-4,4.0,1.735795455,26.38284947,0.31804633,0.004766799,12,1.7357954545454546,26.382849466988546,0.31804633,0.004766798572138702
73,Coleman  Ronald D.,129.0,13,116,3.4904014E-4,3.773178E-4,3.0,1.694050992,22.15126693,0.34641472,0.004674953,6,1.6940509915014164,22.15126693158834,0.34641472,0.0046749529052237705
74,Collins  Cardiss,277.0,36,241,9.2246325E-4,8.354894E-4,4.0,1.321937322,200.7749471,0.29094073,0.010547458,16,1.3219373219373218,200.77494714957723,0.29094073,0.01054745762601866
75,Combest  Larry,107.0,33,74,8.476689E-4,8.0853817E-4,3.0,1.829059829,126.9149462,0.27808148,0.008825778,4,1.829059829059829,126.91494617498307,0.27808148,0.008825777523818185
76,Conte  Silvio O.,217.0,50,167,0.0012715034,0.001185856,4.0,1.547277937,169.5024984,0.30148062,0.014986435,16,1.5472779369627507,169.50249840544956,0.30148062,0.014986434818358242
77,Conyers  John  Jr.,247.0,35,212,8.975318E-4,8.0853817E-4,4.0,1.399425287,198.8626621,0.30129027,0.011717109,16,1.3994252873563218,198.86266207616106,0.30129027,0.011717109032840737
78,Cooper  Jim,121.0,14,107,3.739716E-4,3.2341527E-4,4.0,1.723837209,38.22942715,0.3329201,0.004851729,6,1.7238372093023255,38.22942714686678,0.3329201,0.004851729249595935
79,Costello  Jerry F.,16.0,0,16,0.0,2.6951273E-5,4.0,2.075801749,0,0.375,0,2,2.075801749271137,0.0,0.375,0.0
80,Coughlin  Lawrence,111.0,7,104,1.994515E-4,1.6170763E-4,4.0,1.747093023,9.469856741,0.33890253,0.001694866,16,1.747093023255814,9.469856741462495,0.33890253,0.0016948660934093926
81,Courter  Jim,200.0,48,152,0.0012216405,0.0011319534,3.0,1.583090379,204.4707719,0.30386934,0.013525755,10,1.5830903790087463,204.47077189549958,0.30386934,0.013525755253969875
82,Coyne  William J.,141.0,11,130,2.9917725E-4,2.4256145E-4,4.0,1.649122807,41.23836701,0.3464539,0.003105116,8,1.6491228070175439,41.238367006469396,0.3464539,0.0031051159985587516
83,Craig  Larry E.,168.0,13,155,3.4904014E-4,3.5036655E-4,3.0,1.567251462,39.38869857,0.3043912,0.004347396,8,1.567251461988304,39.38869857156756,0.3043912,0.004347395611084702
84,Crane  Philip M.,123.0,22,101,5.734231E-4,5.1207416E-4,3.0,1.730205279,61.79379713,0.30081302,0.006395748,16,1.7302052785923754,61.79379713212721,0.30081302,0.006395748254085182
85,Crockett  George W.  Jr.,211.0,21,190,5.4849166E-4,5.1207416E-4,4.0,1.463343109,50.67894507,0.3141503,0.007132632,8,1.4633431085043989,50.67894507315167,0.3141503,0.007132632185360092
86,Daniel  W. C. (Dan),137.0,6,131,1.7452007E-4,1.886589E-4,3.0,1.627565982,24.27202388,0.30613998,0.002302493,16,1.6275659824046922,24.27202388166382,0.30613998,0.002302492786507655
87,Dannemeyer  William E.,171.0,25,146,6.482174E-4,6.737818E-4,3.0,1.579411765,95.44038728,0.2865841,0.007300914,10,1.5794117647058823,95.44038727943853,0.2865841,0.0073009140284565595
88,Darden  George (Buddy),219.0,68,151,0.0017202692,0.0016440277,3.0,1.563421829,297.3367622,0.29749486,0.021075937,6,1.5634218289085546,297.33676215838005,0.29749486,0.02107593671975252
89,Daub  Hal,247.0,44,203,0.0011219147,9.971971E-4,3.0,1.40652819,197.1212487,0.27601132,0.01493889,8,1.4065281899109792,197.12124868270544,0.27601132,0.01493889024196583
90,Davis  Jack,201.0,6,195,1.7452007E-4,1.886589E-4,3.0,1.430678466,40.11697039,0.2843781,0.00226149,2,1.4306784660766962,40.11697038576017,0.2843781,0.0022614898541849105
91,Davis  Robert W.,177.0,23,154,5.983545E-4,5.659767E-4,3.0,1.547904192,81.84107535,0.2929186,0.007138267,10,1.5479041916167664,81.84107535169981,0.2929186,0.0071382669617915595
